en,ja
"Germany participates in EU Digital Identity Wallet large‑scale pilots that include a mobile driving licence (mDL) use case under common European specifications. The pilots inform national adoption choices, but a nationwide ISO/IEC 18013‑5 issuance programme has not yet been officially confirmed, so operational acceptance remains prospective.",ドイツはEUデジタルIDウォレットの大規模パイロットに参加しており、共通仕様に基づくモバイル運転免許証（mDL）のユースケースを検証している。ただし、ISO/IEC 18013-5準拠の全国的な発行プログラムは公式には未確認であり、実運用の受入れは将来の検討段階にある。
"Denmark is exploring a mobile driving licence within the EU Digital Identity Wallet large‑scale pilots alongside other verifiable credentials. Until a national programme is confirmed and rolled out, mDL is treated as planned rather than a nationwide operational credential.",デンマークはEUデジタルIDウォレットの大規模パイロットの一環としてmDLを検討している。全国展開が確認・実施されるまでは、mDLは計画段階として取り扱われる。
"Estonia, through the Information System Authority (RIA), participates in EU Digital Identity Wallet pilots that include an mDL scenario integrated with the national eID environment. A nationwide ISO/IEC 18013‑5 issuance has not been announced; therefore the mDL remains in a planning/piloting phase rather than full national operation.",エストニアは情報システム庁（RIA）を通じ、国家eID環境と連携させたmDLシナリオをEUデジタルIDウォレットのパイロットで検証している。ISO/IEC 18013-5準拠の全国発行は公表されておらず、現時点では計画・実証段階である。
"France has introduced the digital driving licence inside the France Identité app as a complementary credential that can be presented and verified alongside other identity proofs. It is available nationwide within the state’s mobile identity ecosystem and integrates with FranceConnect+, providing a smartphone route for driver identification and selected administrative procedures.",フランスはFrance Identitéアプリにデジタル運転免許証を実装し、他の身分証と並んで提示・検証が可能な補完的資格として提供している。本資格は国家のモバイルIDエコシステム内で全国的に利用可能で、FranceConnect+と連携し、運転者の本人確認や所要の行政手続にスマートフォン経路を提供する。
The UK has begun limited testing of a digital driving licence as a credential within the GOV.UK One Login app ecosystem (GOV.UK Wallet roadmap) in collaboration with DVLA. The trial focuses on controlled cohorts and specific use‑cases; it is not yet a nationwide mDL programme or an accepted credential across all authorities.,英国はGOV.UK One Loginアプリ基盤（GOV.UK Walletロードマップ）において、DVLAと連携したデジタル運転免許証の限定的試行を開始した。試行は特定の利用者群と用途に絞った管理下で行われており、全国的なmDLプログラムや一律受入には至っていない。
"India’s transport digital services provide mobile access to digital driving licences and vehicle registration via mParivahan under the Ministry of Road Transport and Highways (MoRTH). Digital DLs can be presented for verification by traffic authorities and reused across transport service flows, and Aadhaar‑based verification mechanisms support onboarding where applicable.",インドの交通デジタルサービスは、道路交通・国道省（MoRTH）の下でmParivahanによりデジタル運転免許証と車両登録証のモバイル提示を提供する。デジタルDLは交通当局による検証に用いることができ、各種の交通サービスにまたがって再利用され、必要に応じてAadhaarに基づく認証がオンボーディングを支援する。
"Japan is advancing policy measures around integrating the driving licence with the My Number Card (physical card integration), including the ‘Myna Licence’ operations. A smartphone‑native, ISO/IEC 18013‑5 compliant nationwide mDL has not been rolled out, so mDL is treated as planned rather than nationally operational.",日本では運転免許証のマイナンバーカード一体化などの政策が進められている一方、スマートフォン・ネイティブのISO/IEC 18013-5準拠mDLは全国展開に至っていない。このため、現時点ではmDLを全国運用ではなく計画段階として取り扱う。
Korea operates a nationwide mobile driver’s licence following a pilot and legislative preparation under amendments to the Road Traffic Act. The credential functions within the government’s mobile‑ID ecosystem and is accepted nationally for driver identification and related procedures.,韓国は試行と道路交通法の改正を経て、全国的なモバイル運転免許証を運用している。本資格は政府主導のモバイルIDエコシステムの中で機能し、運転者の本人確認や関連手続で全国的に受け入れられている。
New Zealand does not yet provide a nationwide mobile driving licence; the NZTA app is positioned as an initial step toward a future digital driver licence and supporting capabilities. A national mDL issuance scheme has not been launched as of the current dataset selection.,ニュージーランドでは全国的なmDLはまだ提供されておらず、NZTAアプリは将来のデジタル運転免許証や付随機能に向けた第一歩として位置づけられている。当データセットの期間において、全国発行スキームは開始されていない。
"Singapore’s Digital Driving Licence is available in the Singpass app and is recognised as an official alternative identification document for drivers alongside the physical licence. It operates nationwide within the Singpass ecosystem and supports digital presentation and verification, although it is not explicitly positioned as an ISO/IEC 18013‑5 mDL.",シンガポールのデジタル運転免許証はSingpassアプリで提供され、物理免許証と並ぶ運転者の公的な代替身分証として認められている。全国的に運用され、スマートフォンでの提示・検証に対応する一方、ISO/IEC 18013-5準拠の明示はない。
"Sweden participates in EU Digital Identity Wallet pilot activities that include a mobile driving licence use case aligned with European guidance. A nationwide ISO/IEC 18013‑5 issuance programme has not been confirmed, so the mDL remains in a planned/piloting posture.",スウェーデンはEUデジタルIDウォレットのパイロットに参加し、欧州の指針に沿ったmDLユースケースを検証している。全国規模のISO/IEC 18013-5準拠mDL発行は未確認であり、計画・実証段階にある。
"Mobile driver’s licences in the United States are issued by states, and TSA accepts approved mDLs at participating checkpoints under defined programmes and airport deployments. This constitutes limited and programme‑based acceptance rather than a single nationwide mDL recognised across all administrative domains.",米国のmDLは州が発行し、TSAは定められたプログラムと空港配備の下、参加検査場で承認されたmDLを受け入れている。これは全国単一のmDLではなく、限定的・プログラムベースの受入にとどまる。
"Australia’s Digital ID ecosystem provides a nationwide smartphone route (myID app) to prove identity for participating public services under government rules, with consent-based verification against authoritative records and no centralised personal-data hub. The model enables reusable authentication and identity proofing across administrative domains via accredited providers.",オーストラリアのデジタルID制度は、政府の規則の下、myIDアプリ等によって参加行政サービスでスマートフォン経由の本人確認を全国的に提供し、権威ある公的記録に対する同意ベースの照合を行う（中央集約型の個人データベースは構築しない）。このモデルは、認定事業者を介して、行政分野を横断した再利用可能な認証・本人確認を実現する。
"Canada does not operate a nationwide mobile ID; instead, provinces offer selected digital-ID apps (e.g., BC Services Card app), while federal access relies on GCKey/Sign‑In Partner as authentication choices via a credential-broker model. As a result, mobile-ID coverage and cross‑domain reuse remain limited at the national level.",カナダは全国的なモバイルIDを運用していない。代わりに、一部の州でデジタルIDアプリ（例：BC Services Cardアプリ）が提供され、連邦のサービスは資格情報ブローカー方式のGCKey／Sign‑In Partnerによる認証選択を用いる。その結果、全国レベルでのモバイルIDのカバレッジと分野横断の再利用は限定的である。
"Germany’s smartphone use typically relies on the national ID card’s eID function via AusweisApp and suitable readers/phones, together with the BundID account; a standalone nationwide mobile-ID credential is not the norm. Interoperability remains federated across levels of government, so smartphone-based identification is available but not yet a universal mobile-ID scheme.",ドイツのスマートフォン利用は、通常、国家IDカードのeID機能をAusweisAppと適合端末で用いる形（BundIDアカウントと併用）に依拠しており、独立した全国モバイルID資格が一般的に提供されているわけではない。行政レベル間の相互運用は連邦制の枠組みにあり、スマホによる本人確認は可能だが、全国的に単一のモバイルIDスキームとしては未整備である。
"MitID provides Denmark’s nationwide mobile eID, available as a smartphone app with onboarding that can leverage passports and CPR‑linked records. It is reused broadly across public self‑service solutions and regulated private contexts, functioning as the national mobile identity.",MitIDはデンマークの全国モバイルeIDであり、パスポートやCPR連携データを活用したオンボーディングを備えたスマホアプリとして提供される。公共のセルフサービスや規制下の民間分野に広く再利用され、国家的なモバイルIDとして機能している。
"Estonia offers nationwide smartphone identity through Mobile‑ID and Smart‑ID, enabling strong authentication and qualified signatures on phones. These solutions integrate with the state eID environment and are reused across public e‑services and regulated private transactions.",エストニアはMobile‑IDおよびSmart‑IDにより全国的なスマートフォン本人確認を提供し、強固な認証とスマホ上での適格電子署名を可能にしている。これらは国家eID環境と統合され、行政の電子サービスや規制された民間取引で広く再利用されている。
France Identité (mobile identity app) has been generalised and allows people to prove identity online and access services via FranceConnect/FranceConnect+. It extends the state ID card into the smartphone environment and supports complementary features such as the digital driving licence.,France Identité（モバイルIDアプリ）は一般化され、FranceConnect／FranceConnect+を通じてオンラインでの本人確認とサービス利用を可能にする。国家IDカードの機能をスマートフォン環境へ拡張し、デジタル運転免許証等の補完機能もサポートする。
"GOV.UK One Login provides a smartphone‑app route for identity proofing and then reuses verified attributes across participating services, but the UK does not run a national mobile‑ID card scheme. The model is a reusable identity‑and‑attribute service rather than a single nationwide mobile credential.",GOV.UK One Loginはスマホアプリ経由の本人確認経路を提供し、確認済み属性を参加サービス間で再利用できるが、英国は全国的なモバイルIDカード制度を運用していない。このモデルは、全国単一のモバイル資格ではなく、再利用可能なID・属性提供サービスである。
"India provides a nationwide smartphone route through mAadhaar/DigiLocker‑style apps for identity and document presentation, with Aadhaar OTP/biometric authentication and paperless offline e‑KYC available. Consent‑based data sharing under India Stack’s DEPA further enables cross‑institution reuse of verified attributes.",インドは、mAadhaarやDigiLocker等のアプリにより、身分証・公的文書の提示を含む全国的なスマホ経路を提供し、AadhaarのOTP／生体認証および紙lessオフラインe‑KYCが利用できる。さらに、India StackのDEPAに基づく同意型データ共有により、検証済み属性の機関横断的な再利用が可能となる。
Japan operates a smartphone certification route for the My Number Card that allows lawful online identification and qualified electronic signatures (JPKI) on supported devices. The smartphone path is governed by official guidance and reused across public online procedures and portals.,日本はマイナンバーカードのスマホ用認証経路を運用しており、対応端末でオンライン本人確認およびJPKIによる適格電子署名が可能である。このスマホ経路は公式ガイダンスの下で運用され、各種のオンライン行政手続やポータルで再利用されている。
"Korea provides a nationwide Mobile Resident Registration Card and operates a government‑led mobile‑ID ecosystem on an integrated platform. Mobile IDs are expanding across e‑government uses, complementing existing credentials.",韓国は全国的なモバイル住民登録証を提供し、政府主導の統合プラットフォーム上でモバイルIDエコシステムを運用している。モバイルIDは既存の資格を補完しつつ電子政府の幅広い用途へ拡大している。
"RealMe provides government‑grade login and a verified identity that can be used across many services, with smartphone support for onboarding and use. However, New Zealand does not operate a single nationwide ‘mobile ID card’ credential, so mobile‑ID capability is limited compared with national mobile‑ID regimes.",RealMeは政府水準のログインおよび検証済みIDを提供し、オンボーディングや利用においてスマートフォンをサポートする。ただし、全国単一の「モバイルIDカード」資格は運用されておらず、国家的なモバイルID制度と比べるとモバイルID機能は限定的である。
Singpass provides a nationwide mobile identity with biometric/2FA login and supports verified‑data sharing via MyInfo for thousands of services. The app functions as the state’s trusted digital identity for citizens and residents across government and regulated private‑sector services.,Singpassは全国的なモバイルIDを提供し、生体認証／2要素認証によるログインに加え、MyInfoを通じた検証済みデータの共有を数千のサービスでサポートする。このアプリは、政府および規制された民間分野において、国民・居住者の信頼できるデジタルIDとして機能する。
"Under the national eID framework, approved providers (e.g., BankID mobile, Freja+) deliver smartphone identity used widely for public e‑services and regulated private transactions. The ecosystem is supported by the Sweden Connect infrastructure for secure eID transactions.",国家eIDフレームワークの下、BankID（モバイル）やFreja+等の承認プロバイダがスマホIDを提供し、行政の電子サービスや規制された民間取引で広く用いられている。Sweden Connectのインフラにより、安全なeID取引が支えられている。
"The United States has no federal national mobile‑ID; federal services use account‑based authentication via Login.gov, while mobile IDs are state‑led and not uniform. Consequently, there is no single nationwide smartphone credential covering administrative domains.",米国には連邦レベルの全国モバイルIDは存在せず、連邦サービスはLogin.govによるアカウント型認証を用いる一方、モバイルIDは州主導で統一されていない。その結果、行政分野をカバーする単一の全国スマホ資格は存在しない。
"Denmark’s official Driving Licence App (Kørekort‑appen) provides a digital version of the Danish driver’s licence that is legally valid inside Denmark, including presentation to the police and everyday ID/age checks. The app complements the plastic card and uses eID onboarding with passport/ID NFC; it is not valid abroad. Accordingly, Denmark operates a nationwide mDL for domestic use.",デンマークの公式「運転免許アプリ（Kørekort‑appen）」は、国内で法的に有効なデジタル運転免許を提供し、警察への提示や日常の本人・年齢確認で利用できる。プラスチックカードを補完する位置づけで、パスポート／IDのNFC読取によるeIDオンボーディングを用いるが、国外では無効。以上より、デンマークは国内向けの全国mDLを運用している。
"Estonia, via the Information System Authority (RIA), tested a mobile driving licence as part of EU Digital Identity Wallet large‑scale pilots (e.g., POTENTIAL), including cross‑border interoperability scenarios. The pilots concluded and inform national design, but nationwide issuance and acceptance have not been announced; therefore Estonia is recorded as pilot rather than nationwide operation.",エストニアは情報システム庁（RIA）を通じ、EUデジタルIDウォレットの大規模実証（例：POTENTIAL）の一環としてモバイル運転免許証（mDL）を検証し、越境相互運用のシナリオも含めてテストした。実証は終了し制度設計の参考となっているが、全国での発行・受入は未公表のため、本データセットでは全国運用ではなくパイロットとして扱う。
"New Zealand has signalled delivery of a Digital Driver Licence and released the NZTA app as the first step; ministers indicated an initial version targeted for late 2025. As of this dataset’s timeframe, a nationwide mDL issuance and acceptance scheme has not yet launched, so the country is treated as planned.",ニュージーランドはデジタル運転免許証の提供方針を示し、その第一歩としてNZTAアプリを公開した。閣僚は2025年末の初版を示唆している。なお、本データセット時点では全国的なmDLの発行・受入制度は未開始のため、分類はPlanned（計画）とする。
"Sweden plans to introduce a digital driving licence under the new EU directive, with national implementation scheduled by 2030. A nationwide ISO/IEC 18013‑5 issuance programme has not yet started, so the mDL remains in a planned posture.",スウェーデンはEUの新指令に基づきデジタル運転免許証を導入する計画で、2030年までの国内実装が予定されている。ISO/IEC 18013‑5準拠の全国発行プログラムは未着手のため、現状は計画段階（Planned）とする。
"Japan provides a government-led authentication infrastructure for residents via the My Number Card and JPKI certificates, enabling lawful online identification and qualified electronic signatures across public e‑services and portals. A smartphone certification route based on the same PKI is available on supported devices and reused in administrative procedures.",日本はマイナンバーカードのJPKI証明書にもとづく住民向け認証基盤を提供し、オンラインでの本人確認とJPKI電子署名を各種の行政手続・ポータルで再利用できる。同一PKIを用いたスマートフォン認証経路も対応端末で利用でき、行政手続に広く再利用されている。
"GOV.UK One Login provides a central sign‑in and identity proofing service for participating government services; after checks, verified core attributes can be reused across services that integrate with One Login. The model delivers reusable authentication and attributes for citizens without a separate national mobile‑ID card scheme.",GOV.UK One Login は参加する行政サービス向けに統一サインインと本人確認を提供し、確認済みの基礎属性を One Login 連携サービス間で再利用できる。国民は再利用可能な認証・属性提供を利用でき、別個の全国モバイルIDカード制度は設けられていない。
"Canada offers multiple authentication options: the federal GCKey and the bank‑based Sign‑In Partner credential broker, plus selected provincial sign‑in solutions (e.g., the BC Services Card app). These provide authentication choice for accessing services, while verified‑attribute sharing at the national level remains limited.",カナダは連邦の GCKey、銀行連携の Sign‑In Partner、州のサインイン（例：BC Services Card アプリ）という複数の認証手段を提供する。これらは行政サービス利用時の認証の選択肢を与える一方、全国レベルの検証済み属性共有は限定的である。
Germany combines the ID card’s eID function (via AusweisApp and suitable devices) with the BundID user account to authenticate users for public e‑services; EU eID means are also supported. This constitutes a federated set of authentication means rather than a single nationwide mobile‑ID credential.,ドイツはIDカードのeID機能（AusweisAppと対応端末）とBundIDユーザーアカウントを組み合わせて行政eサービスで認証し、EUのeID手段にも対応する。全国単一のモバイルID資格ではなく、複数手段の集合として機能している。
"MitID provides a national mobile eID used broadly across public self‑service solutions and regulated private contexts, with onboarding that can leverage passports and CPR‑linked records. It functions as Denmark’s government‑led authentication infrastructure for citizens.",MitID は全国規模のモバイルeIDとして公的セルフサービスや規制対象の民間分野で広く利用され、パスポートやCPR関連データを活用したオンボーディングにも対応する。国民向けの政府主導の認証基盤として機能している。
"Estonia offers nationwide smartphone identity through Mobile‑ID and Smart‑ID within the state eID environment, enabling strong authentication and qualified signatures across public e‑services. These solutions are integrated with the national e‑identity system and reused by government and regulated private services.",エストニアは国家eID環境の下でMobile‑ID と Smart‑ID により強固な認証とスマホ上の適格電子署名を提供し、行政eサービス全体で再利用される。これらは国家の電子ID制度に統合され、公的および規制対象の民間取引で広く用いられている。
Singpass provides a nationwide digital identity with biometric/2FA login and supports consent‑based sharing of verified data via MyInfo across thousands of services. It serves as the state’s trusted authentication infrastructure for citizens and residents across government and regulated private services.,Singpass は生体/2要素による全国的なデジタルIDを提供し、MyInfo による同意ベースの検証済みデータ共有を数千のサービスで支援する。政府および規制対象の民間分野における信頼できる認証基盤として機能する。
"India provides a nationwide smartphone route for identity and document presentation through mAadhaar/DigiLocker‑style apps, with Aadhaar OTP/biometric authentication and paperless offline e‑KYC available. These mechanisms underpin reusable authentication for digital public services under the India Stack framework.",インドは mAadhaar / DigiLocker などのアプリにより身分・公的文書のスマホ提示経路を提供し、Aadhaar のOTP/生体や紙lessオフラインe‑KYCを利用できる。これらは India Stack の枠組みの下でデジタル行政サービスにおける再利用可能な認証を支える。
"Australia’s Digital ID system enables consent‑based online verification against authoritative records via accredited providers (e.g., myID), without creating a centralised personal‑data hub. It provides a reusable authentication route for participating public services under government rules.",オーストラリアのDigital IDは、認定事業者を通じ公的記録との同意ベース照合を可能にし（例：myID）、個人データを集中管理するDBを作らない。政府の規則の下、参加行政サービスで再利用可能な認証経路を提供する。
"RealMe provides secure login and a verified identity that can be reused across government and participating private services, with smartphone support for onboarding and use. It operates as New Zealand’s government‑grade authentication infrastructure for online services.",RealMe は安全なログインと確認済みIDを提供し、政府および参加民間サービスで再利用できる。オンボーディングや利用にスマートフォンのサポートがあり、政府水準の認証基盤として機能する。
"Login.gov operates as a federal shared service providing account‑based authentication and identity verification for participating agencies, with documented attribute sets available through federation protocols. It supports cross‑agency reuse of verified attributes while remaining an identity‑and‑attribute service rather than a nationwide mobile‑ID credential.",Login.gov は連邦の共有サービスとしてアカウント型の認証と本人確認を提供し、フェデレーションを通じ文書化された属性セットを機関に提供できる。全国モバイルID資格ではなく、検証済み属性の省庁横断再利用を支えるID・属性サービスである。
"FranceConnect provides the state SSO/authentication federator, and France Identité extends the national ID card into the smartphone environment for online identification. Together they enable reusable authentication for citizens across public services (and regulated private contexts via FranceConnect+).",FranceConnect は政府のSSO/認証フェデレータであり、France Identité は国民IDカードの機能をスマートフォン環境に拡張してオンライン本人確認を可能にする。両者により公的サービスでの再利用可能な認証が実現し、FranceConnect+ 経由の民間分野でも活用される。
"Under the national eID framework, multiple approved providers (e.g., BankID mobile, Freja+) deliver smartphone identity reused across public e‑services and regulated private transactions. This constitutes multiple recognised authentication means rather than a single national credential.",国家eIDフレームワークの下、BankID（モバイル）やFreja+ など複数の承認プロバイダがスマホIDを提供し、公的eサービスや規制対象の民間取引で再利用される。単一の全国資格ではなく、複数の認証手段が並存している。
"Korea operates a government‑led mobile‑ID ecosystem (e.g., the Mobile Resident Registration Card) used across e‑government uses, while other authentication means remain in parallel. Accordingly, citizens encounter multiple recognised authentication routes rather than a single nationwide credential.",韓国はモバイル住民登録証など政府主導のモバイルIDエコシステムを運用し、電子政府用途で広く活用される一方、他の認証手段も併存する。結果として、国民は単一の全国資格ではなく複数の認証経路を利用する。
Government cloud,政府クラウド
Nationwide (single shared platform),全国共有基盤（単一）
Multiple (federated shared platforms),複数共有基盤（連邦型）
Procurement (policy/assurance),調達・方針・アシュアランス
None / Planned,未整備／計画中
GDPR,GDPR（EU域内）
Adequacy,十分性あり
Law-only,包括法あり・十分性なし
None/Sectoral,包括法なし／分野別のみ
GovNet‑Common,共通閉域網
GovNet‑Sectoral,分野別閉域網
Internet‑ZT,インターネット＋ゼロトラスト
Internet + ZT,インターネット＋ゼロトラスト
